Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
Deadpool,Killmonger,55,58499,7,7,10,6,5,5,4,raider,,,,,4,,4,4,4,4,4
Deadpool,Groot,75,190907,7,7,14,6,6,6,5,healer,blue,,,10,,,5,5,5,5,5
Deadpool,HandSupport_Heal,40,18574,7,7,7,4,4,,2,,,,,,,,1,1,1,1,
Deadpool,Electro,35,18807,7,7,6,4,3,3,2,raider,,,,,5,,5,5,5,5,5
Deadpool,HydraDmg_Buff,20,3898,6,6,4,2,2,,1,raider,,,,,2,,2,2,2,2,2
Deadpool,AntMan,75,145805,7,7,14,6,6,6,4,skirmisher,blue,,,,,10,5,5,5,5,5
Deadpool,Rescue,95,404141,7,7,18,7,7,7,5,healer,purple,,10,10,,,,,,,
Deadpool,WarMachine,75,216286,7,7,14,7,6,6,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,Wasp,80,283399,7,9,15,6,6,7,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,Yellowjacket,75,139611,7,7,14,6,6,6,4,skirmisher,blue,,,,,10,5,5,5,5,5
Deadpool,PhylaVell,80,183732,7,7,15,7,7,7,5,striker,blue,8,,,,,3,3,3,3,3
Deadpool,Cable,75,187866,7,7,14,6,6,6,5,striker,blue,10,5,,,3,5,5,5,5,5
Deadpool,Negasonic,70,114311,7,7,13,7,6,6,5,raider,,,,,5,,5,5,5,5,5
Deadpool,X23,70,109246,7,7,13,6,6,6,5,striker,,5,,,,,5,5,5,5,5
Deadpool,Storm,100,930887,7,9,19,6,6,7,5,raider,purple,,,,13,,3,3,3,3,3
Deadpool,Mysterio,65,92014,7,7,12,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,ScarletWitch,90,374666,7,7,17,6,6,7,5,healer,purple,,,11,,,1,1,1,1,1
Deadpool,MercDmg_General,45,30015,7,7,8,5,4,,3,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Vulture,75,143982,7,7,14,6,6,6,5,raider,blue,,,,9,,4,4,4,4,4
Deadpool,Vision,90,421540,7,8,17,7,6,7,5,skirmisher,purple,,,,,11,1,1,1,1,1
Deadpool,YoYo,65,84950,7,7,12,6,6,6,4,skirmisher,,,,,,3,4,4,3,3,4
Deadpool,UltGreenGoblin,70,107489,7,8,13,6,6,6,5,raider,,,,,5,,5,5,5,5,5
Deadpool,MercTank_Debuff,30,12448,7,7,6,3,3,,1,fortifier,,1,5,,,,5,5,5,5,5
Deadpool,Ronan,50,42438,7,7,9,5,5,5,3,healer,,,,3,,,3,3,3,3,3
Deadpool,RavagerSupport_Heal,50,41452,7,7,9,5,5,,3,healer,,,,4,,,4,4,4,4,4
Deadpool,Sersi,85,265035,7,8,16,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Deadpool,KreeControl_Assist,40,21443,7,7,7,4,4,,2,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Venom,100,628833,7,8,19,6,7,7,5,striker,purple,13,,,,,3,3,3,3,3
Deadpool,MBaku,60,73571,7,7,11,6,6,6,4,fortifier,,,4,,,,4,4,4,4,4
Deadpool,Thing,90,249241,7,7,17,6,6,6,4,striker,purple,10,,,,,,,,,
Deadpool,Falcon,100,787945,7,7,19,6,6,7,5,raider,purple,,,,13,,3,3,3,3,3
Deadpool,Korath,30,10798,6,6,6,3,3,3,1,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Gamora,80,184735,7,7,15,7,7,7,5,striker,blue,8,,,,,3,3,3,3,3
Deadpool,Ironheart,80,293632,7,9,15,6,6,7,5,raider,blue,,2,,10,,5,5,5,5,5
Deadpool,WinterSoldier,90,253554,7,7,17,6,6,6,4,striker,purple,10,,,,,,,,,
Deadpool,Moondragon,90,451953,7,9,17,7,7,8,6,healer,purple,9,,10,,,,,,,
Deadpool,Polaris,75,198500,7,7,14,6,6,6,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,Mystique,70,99892,7,7,13,6,6,6,5,skirmisher,,,,,,4,4,4,4,4,4
Deadpool,Pyro,60,70087,7,7,11,6,6,6,4,striker,,3,,,,,3,3,3,3,3
Deadpool,Dagger,85,231114,7,7,16,7,7,7,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,Cloak,85,260592,7,9,16,7,7,7,5,skirmisher,blue,,,,,9,4,4,4,4,4
Deadpool,ElsaBloodstone,65,91282,7,7,12,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Deadpool,Carnage,100,608070,7,8,19,6,6,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
Deadpool,AntiVenom,65,98610,7,9,12,6,6,6,4,striker,,4,,,,,4,4,4,4,4
Deadpool,SymbioteSpiderMan,70,124629,7,10,13,6,6,6,4,raider,,,,,4,,4,5,5,4,5
Deadpool,Swarm,75,147760,7,7,14,6,6,6,4,striker,blue,10,,,,,5,5,5,5,5
Deadpool,SharonCarter,80,189915,7,7,15,7,7,7,5,striker,blue,8,,,,,3,4,3,4,3
Deadpool,SquirrelGirl,75,131929,7,7,14,6,6,6,4,healer,blue,,,8,,,3,3,3,3,3
Deadpool,HydraSupport_Heal,20,4854,7,7,4,2,2,,1,healer,,,,3,,,3,3,3,3,3
Deadpool,Sybil,100,638201,7,8,19,7,7,7,5,striker,purple,11,,,,,1,1,1,1,1
Deadpool,Ikaris,85,266361,7,8,16,7,7,7,5,striker,purple,10,,,,,,,,,
Deadpool,Taskmaster,70,114909,7,7,13,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Drax,40,24882,7,7,7,4,4,4,2,fortifier,,,5,,,,5,5,5,5,5
Deadpool,RavagerTank_Taunt,50,40774,7,7,9,5,5,,3,skirmisher,,,3,,,4,4,4,4,4,4
Deadpool,Sif,60,76594,7,7,11,6,6,6,4,fortifier,,,5,,,,5,5,5,5,5
Deadpool,SpiderPunk,75,162252,7,9,14,7,6,6,5,raider,blue,,,,8,,3,3,3,3,3
Deadpool,EmmaFrost,95,363680,7,8,18,7,6,6,5,healer,purple,5,5,10,5,5,,,,,
Deadpool,Colossus,50,47661,7,7,9,5,5,5,3,fortifier,,,3,,,,3,3,3,3,3
Deadpool,Blob,60,72628,7,7,11,6,6,6,4,striker,,4,,,,,4,4,4,4,4
Deadpool,Longshot,75,146536,7,9,14,6,6,6,4,raider,blue,,,,8,,3,3,3,3,3
Deadpool,Psylocke,95,377206,7,7,18,7,7,7,5,striker,purple,10,,,,4,,,,,
Deadpool,Loki,100,589040,7,8,19,7,7,7,5,skirmisher,purple,,,,,11,1,1,1,1,1
Deadpool,HandTank_Stealth,20,4308,7,7,4,2,2,,1,,,,,,,,1,1,1,1,1
Deadpool,Toad,65,88098,7,8,12,6,6,6,4,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,HandControl_HealBlock,20,4315,7,7,4,2,2,,1,,,,,,,,1,1,1,1,1
Deadpool,BaronMordo,65,93776,7,8,12,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Deadpool,WhiteTiger,45,32815,7,7,8,5,4,4,3,striker,,3,,,,,3,3,3,3,3
Deadpool,Sabretooth,65,88301,7,7,12,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Deadpool,MercDmg_Single,25,8043,7,7,5,3,2,,1,striker,,5,,,,,5,5,5,5,5
Deadpool,Heimdall,60,77293,7,7,11,6,6,6,4,raider,,4,,,5,,5,5,5,5,5
Deadpool,Hela,75,152205,7,7,14,6,6,6,4,raider,blue,,,,10,,5,5,5,5,5
Deadpool,DoctorVoodoo,65,90420,7,7,12,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,GhostRider,65,92843,7,7,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,Okoye,75,147265,7,8,14,6,6,6,4,skirmisher,blue,,,,,9,4,4,4,4,4
Deadpool,Minerva,55,55453,7,7,10,6,5,5,4,healer,,,,4,,,4,4,4,4,4
Deadpool,SamWilson,85,346577,7,7,16,7,7,7,5,skirmisher,purple,,,,,11,1,1,1,1,1
Deadpool,KittyPryde,75,139072,7,7,14,7,6,6,5,skirmisher,blue,,,,,8,3,3,3,3,3
Deadpool,DoctorStrange,90,381997,7,8,17,6,6,8,5,healer,purple,,5,10,,,,,,,
Deadpool,SilverSurfer,85,329039,7,8,16,6,6,7,5,striker,purple,11,,,,,1,1,1,1,1
Deadpool,ShangChi,85,214865,7,7,16,7,7,7,5,raider,blue,,,,8,,3,3,3,3,3
Deadpool,Morbius,65,95474,7,7,12,6,6,6,5,striker,,5,,,,,5,5,5,5,5
Deadpool,Kingpin,85,285521,7,9,16,7,7,7,5,fortifier,purple,,13,,,,3,3,3,3,3
Deadpool,MrFantastic,90,294402,7,8,17,6,6,7,5,skirmisher,purple,,,,,10,,,,,
Deadpool,Bishop,75,163982,7,9,14,7,6,7,5,striker,blue,8,,,,,3,3,3,3,3
Deadpool,HumanTorch,40,26927,7,7,7,4,4,4,2,striker,,5,,,,,5,5,5,5,5
Deadpool,BlackWidow,75,187661,7,10,14,6,6,6,4,striker,blue,10,,,,,5,5,5,5,5
Deadpool,Cyclops,95,426129,7,8,18,7,7,7,5,striker,purple,10,,,8,,,,,,
Deadpool,KateBishop,65,87685,7,7,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,SheHulk,90,281653,7,8,17,6,6,7,5,skirmisher,blue,,,9,,10,5,5,5,5,5
Deadpool,StrangeSupreme,90,261384,7,7,17,6,6,6,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,BlackPanther,75,176538,7,10,14,6,6,6,4,striker,blue,9,,,,,4,4,4,4,4
Deadpool,IronFist,65,83529,7,7,12,6,6,6,4,healer,,,,5,,,5,5,5,5,5
Deadpool,Stature,70,95433,7,7,13,6,6,6,5,fortifier,,,5,,,,5,5,5,5,5
Deadpool,Yondu,50,43083,7,7,9,5,5,5,3,striker,,3,,,,3,4,3,4,4,4
Deadpool,ProximaMidnight,65,87078,7,7,12,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Coulson,90,273942,7,7,17,6,6,7,5,striker,purple,10,,,,,,,,,
Deadpool,Namor,95,393864,7,8,18,6,6,6,5,raider,purple,,,,10,,,,,,
Deadpool,MistyKnight,65,103915,7,9,12,6,6,6,5,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Shuri,75,178791,7,10,14,6,6,6,4,healer,blue,,,10,,,5,5,5,5,5
Deadpool,KreeTank_Counter,40,20919,7,7,7,4,4,,2,fortifier,,,3,,,,3,4,3,3,3
Deadpool,KreeSupport_HoT,55,49522,7,7,10,6,5,,4,healer,,,,3,,,3,3,5,3,3
Deadpool,RocketRaccoon,75,202423,7,8,14,6,6,6,4,raider,blue,,,,10,,5,5,5,5,5
Deadpool,Juggernaut,65,84112,7,7,12,6,6,6,5,fortifier,,,5,,,,5,5,5,5,5
Deadpool,Zemo,65,90844,7,7,12,7,6,6,5,raider,,,,,5,,5,5,5,5,5
Deadpool,MrSinister,75,134882,7,7,14,7,6,6,5,healer,blue,,,8,,,3,3,3,3,3
Deadpool,MercSupport_Buffs,35,15148,7,7,6,4,3,,2,healer,,,,5,,,5,5,5,5,5
Deadpool,MadelynePryor,70,105091,7,7,13,7,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,AimDmg_Speed,65,82333,7,7,12,6,6,,5,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,RedGuardian,35,16954,7,7,6,4,3,3,2,healer,,,,5,,,5,5,5,5,5
Deadpool,Magneto,96,506021,7,10,18,7,7,7,5,raider,purple,10,,,10,,,,,,
Deadpool,Iceman,75,132492,7,7,14,7,6,6,5,skirmisher,blue,,,,,8,3,3,3,3,3
Deadpool,Ghost,70,95687,7,7,13,6,6,6,4,striker,,5,,4,,,5,5,5,5,5
Deadpool,ColleenWing,65,87678,7,7,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,Crystal,65,98925,7,9,12,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Deadpool,Graviton,42,32246,7,9,8,4,4,4,2,striker,,3,,,,,3,3,3,3,3
Deadpool,KreeDmg_Speed,45,29624,7,7,8,5,4,,3,raider,,,,,3,,3,3,3,3,3
Deadpool,MoonKnight,100,778678,7,8,19,6,7,7,5,raider,purple,,,,11,,1,1,1,1,1
Deadpool,InvisibleWoman,85,359934,7,8,16,6,6,7,5,healer,purple,,5,11,,,1,1,1,1,1
Deadpool,GhostSpider,100,752435,7,10,19,7,6,7,5,raider,purple,,,,13,,3,3,3,3,3
Deadpool,HydraTank_Taunt,20,2392,3,3,4,2,2,,1,healer,,,,3,,,3,3,3,3,4
Deadpool,HydraDmg_Single,20,2376,3,3,4,2,2,,1,striker,,2,,,,,2,3,3,3,2
Deadpool,MariaHill,80,188304,7,7,15,7,7,7,5,healer,blue,,,8,,,3,3,3,3,3
Deadpool,KreeDmg_Offense,40,21541,7,7,7,4,4,,2,striker,,3,,,,,3,3,3,3,3
Deadpool,AimDmg_Offense,70,92641,7,7,13,7,6,,4,striker,,5,4,,,,5,5,5,5,5
Deadpool,AimSupport_Heal,70,89150,7,7,13,6,6,,4,healer,,,,5,,,5,5,5,5,5
Deadpool,DoctorOctopus,75,179882,7,8,14,7,6,7,5,healer,blue,,,10,,,5,5,5,5,5
Deadpool,Karnak,60,96642,7,10,11,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Fantomex,90,244466,7,7,17,6,6,6,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,CorvusGlaive,65,86886,7,7,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,Wong,90,266593,7,7,17,7,6,6,5,striker,blue,10,,,,,5,5,5,5,5
Deadpool,HandDmg_Bonus,20,4340,7,7,4,2,2,,1,,,,,,,,,,,,
Deadpool,MultipleMan,75,129344,7,7,14,6,6,6,5,healer,blue,,,8,,,3,3,3,3,3
Deadpool,Ultron,90,231268,7,5,17,6,6,7,5,striker,purple,10,,,,,,,,,
Deadpool,NicoMinoru,65,94875,7,7,12,6,6,6,4,skirmisher,,3,,,,5,5,5,5,5,5
Deadpool,TChalla,65,87344,7,7,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,Thanos,65,90026,7,7,12,6,6,6,4,fortifier,,,5,,,,5,5,5,5,5
Deadpool,Gambit,95,452978,7,8,18,7,7,7,5,raider,purple,,,,10,10,,,,,
Deadpool,AimTank_Taunt,65,78206,7,7,12,6,6,,4,fortifier,,,5,,,,5,5,5,5,5
Deadpool,Daredevil,45,34418,7,7,8,5,4,4,3,raider,,,,,5,3,5,5,5,5,5
Deadpool,ScientistSupreme,100,939096,7,9,19,7,6,7,5,healer,purple,,,12,,,2,2,2,2,2
Deadpool,ShieldDmg_AoE,20,4280,7,7,4,2,2,,1,,,,,,,,,,,,
Deadpool,LadyDeathstrike,100,964229,7,9,19,6,6,7,5,striker,purple,13,,,,5,3,3,3,3,3
Deadpool,Sunfire,95,457061,7,9,18,6,6,7,5,striker,purple,13,,,10,,3,3,3,3,3
Deadpool,JaneThor,65,101133,7,8,12,6,6,6,4,striker,,5,,,,4,5,5,5,5,5
Deadpool,AimControl_Infect,70,93065,7,7,13,6,6,,5,skirmisher,,,,3,,5,5,5,5,5,5
Deadpool,Magik,50,43882,7,7,9,5,5,5,3,striker,,3,,,,,3,3,3,3,3
Deadpool,Valkyrie,65,89305,7,7,12,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Deadpool,Nobu,70,94910,7,7,13,6,6,6,4,healer,,,,5,,,5,5,5,5,5
Deadpool,MorganLeFay,90,300393,7,6,17,7,8,7,6,striker,purple,10,,,,,,,,,
Deadpool,StarLord,75,109179,7,7,14,6,6,6,4,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,NickFury,96,398681,7,8,18,7,7,7,5,healer,blue,,,9,,,4,4,4,4,4
Deadpool,CullObsidian,65,91897,7,7,12,6,6,6,5,striker,,5,,,,,5,5,5,5,5
Deadpool,VivVision,85,203454,7,7,16,6,6,7,5,raider,blue,,,,8,,3,3,3,3,3
Deadpool,Hulkbuster,85,254136,7,8,16,7,7,7,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,Echo,65,87573,7,7,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,BlackBolt,100,614695,7,8,19,6,6,7,5,striker,purple,11,,,,,1,1,1,1,1
Deadpool,AgathaHarkness,100,927446,7,9,19,7,7,7,5,skirmisher,purple,,,,11,12,2,2,2,2,2
Deadpool,AmadeusCho,95,412740,7,7,18,7,7,7,5,striker,blue,10,,,,9,5,5,5,5,5
Deadpool,RedSkull,50,45748,7,7,9,5,5,5,3,striker,,5,,,,,5,5,5,5,5
Deadpool,SpiderWeaver,90,276726,7,7,17,6,6,6,5,striker,blue,10,,1,,,5,5,5,5,5
Deadpool,Jubilee,75,143087,7,7,14,7,6,6,5,skirmisher,blue,,,,,8,3,3,3,3,3
Deadpool,SpiderMan2099,50,46182,7,7,9,5,5,5,3,raider,,,,,5,,5,5,5,5,5
Deadpool,Rogue,95,385540,7,5,18,8,7,7,6,striker,blue,10,,,,,5,5,5,5,5
Deadpool,SpiderManNoir,100,620593,7,8,19,6,6,7,5,raider,purple,,,,13,,3,3,3,3,3
Deadpool,Abomination,90,320047,7,8,17,7,7,7,5,skirmisher,purple,,,,9,10,,,,,
Deadpool,Deathlok,85,230668,7,7,16,7,7,7,5,raider,blue,,,,9,,4,4,4,4,4
Deadpool,ZombieIronMan,75,124079,7,3,14,6,6,7,5,striker,blue,10,,,,,5,5,5,5,5
Deadpool,EbonyMaw,65,89403,7,7,12,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Phoenix,75,221714,7,8,14,6,6,6,4,striker,blue,10,,,,2,5,5,5,5,5
Deadpool,Nakia,75,140223,7,7,14,6,6,6,4,striker,blue,9,,,,,4,4,4,4,4
Deadpool,AdamWarlock,80,193870,7,7,15,6,6,7,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,BlackPantherBC,75,135245,7,7,14,6,6,6,4,striker,blue,8,,,,,3,3,3,3,3
Deadpool,DarkBeast,95,381364,7,7,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Deadpool,Dazzler,90,246006,7,7,17,6,6,6,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,SpiderWoman,65,96936,7,7,12,6,6,6,5,striker,,5,,,,,5,5,5,5,5
Deadpool,MrNegative,85,295969,7,8,16,7,7,7,5,striker,purple,13,,,,,3,3,3,3,3
Deadpool,Nemesis,95,423295,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
Deadpool,Ultimus,85,343734,7,10,16,6,6,7,5,striker,purple,10,,,,,,,,,
Deadpool,RedHulk,90,290179,7,6,17,7,8,7,6,raider,blue,,,,10,,5,5,5,5,5
Deadpool,CaptainCarter,95,420657,7,7,18,7,7,7,5,healer,purple,5,5,10,5,5,,,,,
Deadpool,USAgent,90,234247,7,7,17,6,6,6,5,raider,blue,,,,8,,3,3,3,3,4
Deadpool,AgentVenom,90,260938,7,7,17,7,7,7,5,raider,blue,,,,8,,3,3,3,3,3
Deadpool,OmegaRed,100,637565,7,8,19,7,7,7,5,striker,purple,10,,,,,,,,,
Deadpool,AbsorbingMan,85,216277,7,7,16,7,6,6,5,raider,purple,,,,10,,,,,,
Deadpool,Archangel,95,373947,7,5,18,7,7,8,6,striker,purple,10,,,,,,,,,
Deadpool,Titania,85,214351,7,7,16,6,6,6,4,raider,purple,,,,10,,,,,,
Deadpool,KangTheConqueror,100,648985,7,8,19,7,7,7,5,striker,purple,10,,,,,,,,,
Deadpool,CaptainAmericaWW2,85,222478,7,7,16,7,7,7,5,raider,blue,,,,9,,4,4,4,4,4
Deadpool,UnionJack,85,221301,7,7,16,7,7,7,5,raider,blue,,,,9,,4,4,4,4,4
Deadpool,BuckyBarnes,85,243938,7,8,16,7,7,7,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,Doom,101,570015,7,5,19,6,7,7,5,striker,purple,12,,,,,2,2,2,2,2
Deadpool,IronFistOrson,85,226739,7,7,16,7,7,7,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,Quicksilver,90,209081,7,3,17,6,6,6,5,striker,purple,10,,,,,,,,,
Deadpool,Moonstone,80,187864,7,7,15,7,6,6,5,raider,blue,,,,10,,5,5,5,5,5
Deadpool,Firestar,75,139445,7,7,14,6,6,6,4,raider,blue,,,,9,,4,4,4,4,4
Deadpool,Nova,100,585369,7,5,19,8,8,7,6,striker,purple,11,,,,,1,1,1,1,1
Deadpool,Cosmo,85,237900,7,8,16,7,6,6,5,healer,purple,,,10,,8,,,,,
Deadpool,Gwenpool,75,146620,7,7,14,6,6,6,5,raider,blue,,,,9,,4,4,4,4,4
Deadpool,Korg,80,172669,7,7,15,6,6,6,4,skirmisher,blue,,,,,10,5,5,5,5,5
Deadpool,StarLord_Annihilation,80,174588,7,7,15,6,6,6,4,raider,blue,8,,,10,,5,5,5,5,5
Deadpool,Vahl,100,755001,7,9,19,7,7,7,5,striker,purple,11,,,10,,1,1,1,1,1
Deadpool,Thor_InfinityWar,80,180405,7,7,15,6,6,6,5,striker,blue,10,,,,,5,5,5,5,5
Deadpool,LokiTeen,95,475652,7,9,18,7,7,7,5,striker,purple,10,,,,,,,,,
Deadpool,BetaRayBill,90,319605,7,8,17,7,7,7,5,raider,purple,,,,10,,,,,,
Deadpool,Sylvie,95,433123,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
Deadpool,SpiderManBigTime,90,265145,7,4,17,7,7,7,5,striker,purple,10,,,,9,,,,,
Deadpool,KamalaKhan,97,422001,7,7,18,7,6,6,5,skirmisher,purple,,,,,10,,,,,
Deadpool,GhostRiderRobbie,97,435585,7,7,18,7,6,6,5,raider,purple,,,,10,,,,,,
Deadpool,BlackCat,100,585574,7,5,19,8,7,8,6,striker,purple,11,,,,,1,1,1,1,1
Deadpool,Photon,97,452224,7,7,18,7,6,7,5,striker,purple,10,,,,,,,,,
Deadpool,Ronin,85,225256,7,7,16,6,6,6,5,striker,purple,10,5,5,5,5,,,,,
Deadpool,Mockingbird,85,225397,7,8,16,6,6,6,4,healer,purple,5,5,10,5,5,,,,,
Deadpool,IronManInfinityWar,95,378788,7,7,18,7,7,6,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,ZombieJuggernaut,75,117949,6,4,14,6,6,6,5,striker,blue,10,,,,,5,5,5,5,5
Deadpool,IronheartMCU,95,370125,7,7,18,6,6,7,5,skirmisher,purple,,,,,10,,,,,
Deadpool,Tigra,90,272372,7,7,17,6,6,7,5,striker,purple,10,5,5,5,5,,,,,
Deadpool,Dormammu,101,570961,7,4,19,6,7,7,5,striker,purple,12,,,,,2,2,2,2,2
Deadpool,Darkhawk,95,381735,7,7,18,6,7,7,5,raider,purple,,,,10,,,,,,
Deadpool,GreenGoblinGlider,75,149047,7,5,14,6,6,7,6,raider,blue,,,,10,,5,5,5,5,5
Deadpool,KravenTheHunter,75,185356,7,10,14,6,6,6,4,raider,blue,,,,10,,5,5,5,5,5
